person,date,plate,wavelength,coral,well,replicate,absorbance,notes
Gil,6/26/2024,2,632,JH01C,C2,2,0.138,
Gil,6/26/2024,2,632,JH02A,D2,2,0.199,
Gil,6/26/2024,2,632,JH02C,E2,2,0.13,
Gil,6/26/2024,2,632,JH03A,F2,2,0.182,
Gil,6/26/2024,2,632,JH03C,G2,2,0.151,
Gil,6/26/2024,2,632,JH04A,H2,2,0.136,
Gil,6/26/2024,2,632,JH04C,A4,2,0.162,
Gil,6/26/2024,2,632,JH05A,B4,2,0.205,
Gil,6/26/2024,2,632,JH05C,C4,2,0.15,
Gil,6/26/2024,2,632,JH06A,D4,2,0.185,
Gil,6/26/2024,2,632,JH06C,E4,2,0.144,
Gil,6/26/2024,2,632,JH07A,F4,2,0.166,
Gil,6/26/2024,2,632,JH09A,G4,2,0.171,
Gil,6/26/2024,2,632,JH08A,H4,2,0.131,
Gil,6/26/2024,2,632,JH10A,A6,2,0.152,
Gil,6/26/2024,2,632,blank,B6,2,0.04,
Gil,6/26/2024,2,632,blank,C6,2,0.04,
Gil,6/26/2024,1,696,blank,A1,1,0.126,
Gil,6/26/2024,1,696,JH01A,B1,1,0.166,
Gil,6/26/2024,1,696,JH01C,C1,1,0.115,
Gil,6/26/2024,1,696,JH02A,D1,1,0.148,
Gil,6/26/2024,1,696,JH02C,E1,1,0.136,
Gil,6/26/2024,1,696,JH03A,F1,1,0.107,
Gil,6/26/2024,1,696,JH03C,G1,1,0.148,
Gil,6/26/2024,1,696,JH04A,H1,1,0.151,
Gil,6/26/2024,1,696,JH04C,A3,1,0.159,
Gil,6/26/2024,1,696,JH05A,B3,1,0.098,
Gil,6/26/2024,1,696,JH05C,C3,1,0.074,
Gil,6/26/2024,1,696,JH06A,D3,1,0.122,
Gil,6/26/2024,1,696,JH06C,E3,1,0.103,
Gil,6/26/2024,1,696,JH07A,F3,1,0.08,
Gil,6/26/2024,1,696,JH09A,G3,1,0.079,
Gil,6/26/2024,1,696,JH08A,H3,1,0.089,
Gil,6/26/2024,1,696,JH10A,A5,1,0.101,
Gil,6/26/2024,1,696,blank,B5,1,0.04,
Gil,6/26/2024,1,696,blank,A2,2,0.131,
Gil,6/26/2024,1,696,JH01A,B2,2,0.111,
Gil,6/26/2024,1,696,JH01C,C2,2,0.067,
Gil,6/26/2024,1,696,JH02A,D2,2,0.102,
Gil,6/26/2024,1,696,JH02C,E2,2,0.102,
Gil,6/26/2024,1,696,JH03A,F2,2,0.089,
Gil,6/26/2024,1,696,JH03C,G2,2,0.156,
Gil,6/26/2024,1,696,JH04A,H2,2,0.099,
Gil,6/26/2024,1,696,JH04C,A4,2,0.16,
Gil,6/26/2024,1,696,JH05A,B4,2,0.088,
Gil,6/26/2024,1,696,JH05C,C4,2,0.068,
Gil,6/26/2024,1,696,JH06A,D4,2,0.105,
Gil,6/26/2024,1,696,JH06C,E4,2,0.088,
Gil,6/26/2024,1,696,JH07A,F4,2,0.082,
Gil,6/26/2024,1,696,JH09A,G4,2,0.08,
Gil,6/26/2024,1,696,JH08A,H4,2,0.095,
Gil,6/26/2024,1,696,JH10A,A6,2,0.104,
Gil,6/26/2024,1,696,blank,B6,2,0.035,
Gil,6/26/2024,2,696,blank,A1,1,0.036,
Gil,6/26/2024,2,696,JH01A,B1,1,0.185,
Gil,6/26/2024,2,696,JH01C,C1,1,0.091,
Gil,6/26/2024,2,696,JH02A,D1,1,0.171,
Gil,6/26/2024,2,696,JH02C,E1,1,0.136,
Gil,6/26/2024,2,696,JH03A,F1,1,0.135,
Gil,6/26/2024,2,696,JH03C,G1,1,0.131,
Gil,6/26/2024,2,696,JH04A,H1,1,0.042,
Gil,6/26/2024,2,696,JH04C,A3,1,0.036,
Gil,6/26/2024,2,696,JH05A,B3,1,0.185,
Gil,6/26/2024,2,696,JH05C,C3,1,0.091,
Gil,6/26/2024,2,696,JH06A,D3,1,0.171,
Gil,6/26/2024,2,696,JH06C,E3,1,0.136,
Gil,6/26/2024,2,696,JH07A,F3,1,0.135,
Gil,6/26/2024,2,696,JH09A,G3,1,0.131,
Gil,6/26/2024,2,696,JH08A,H3,1,0.042,
Gil,6/26/2024,2,696,JH10A,A5,1,0.048,
Gil,6/26/2024,2,696,blank,B5,1,0.04,
Gil,6/26/2024,2,696,blank,C5,1,0.038,
Gil,6/26/2024,2,696,blank,A2,2,0.077,
Gil,6/26/2024,2,696,JH01A,B2,2,0.154,
Gil,6/26/2024,2,696,JH01C,C2,2,0.112,
Gil,6/26/2024,2,696,JH02A,D2,2,0.138,
Gil,6/26/2024,2,696,JH02C,E2,2,0.12,
Gil,6/26/2024,2,696,JH03A,F2,2,0.124,
Gil,6/26/2024,2,696,JH03C,G2,2,0.141,
Gil,6/26/2024,2,696,JH04A,H2,2,0.048,
Gil,6/26/2024,2,696,JH04C,A4,2,0.14,
Gil,6/26/2024,2,696,JH05A,B4,2,0.127,
Gil,6/26/2024,2,696,JH05C,C4,2,0.146,
Gil,6/26/2024,2,696,JH06A,D4,2,0.142,
Gil,6/26/2024,2,696,JH06C,E4,2,0.135,
Gil,6/26/2024,2,696,JH07A,F4,2,0.12,
Gil,6/26/2024,2,696,JH09A,G4,2,0.112,
Gil,6/26/2024,2,696,JH08A,H4,2,0.05,
Gil,6/26/2024,2,696,JH10A,A6,2,0.09,
Gil,6/26/2024,2,696,blank,B6,2,0.038,
Gil,6/26/2024,2,696,blank,C6,2,0.038,
